,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,Mean Income per State,Unemployment Rate,Latitude,Longitude
106,Connecticut,12/31/2022,55535,24946,1076,54831,2.77,41.597782,-72.755371
107,Delaware,12/31/2022,53825,24953,982,52245,2.57,39.318523,-75.507141
108,Florida,12/31/2022,48869,24941,1039,48288,2.21,27.766279,-81.686783
109,Georgia,12/31/2022,47336,24942,857,46112,2.52,33.040619,-83.643074
110,Hawaii,12/31/2022,59840,24949,1668,61666,2.01,21.094318,-157.498337
111,Idaho,12/31/2022,37657,24951,745,37725,2.00,44.240459,-114.478828
112,Illinois,12/31/2022,56950,24944,705,54946,3.00,40.349457,-88.986137
113,Indiana,12/31/2022,45359,24935,895,44432,2.37,39.849426,-86.258278
114,Iowa,12/31/2022,56842,24932,701,54580,1.85,42.011539,-93.210526
115,Kansas,12/31/2022,53854,24939,710,51663,2.63,38.5266,-96.726486
116,Kentucky,12/31/2022,40422,24948,694,40086,3.18,37.66814,-84.670067
117,Louisiana,12/31/2022,42777,24962,782,41988,3.80,31.169546,-91.867805
118,Maine,12/31/2022,34065,24953,882,35063,2.27,44.693947,-69.381927
119,Maryland,12/31/2022,57734,24949,1269,57099,2.91,39.063946,-76.802101
120,Massachusetts,12/31/2022,44107,24956,1455,47231,2.11,42.230171,-71.530106
121,Michigan,12/31/2022,46453,24954,772,45461,2.88,43.326618,-84.536095
122,Minnesota,12/31/2022,46268,24940,938,46814,2.45,45.694454,-93.900192
123,Mississippi,12/31/2022,35753,24932,767,36199,4.14,32.741646,-89.678696
124,Missouri,12/31/2022,45182,24951,728,44065,2.24,38.456085,-92.288368
125,Montana,12/31/2022,41994,24948,747,41894,2.72,46.921925,-110.454353
126,Nebraska,12/31/2022,51539,24948,746,50887,2.60,41.12537,-98.268082
127,Nevada,12/31/2022,59119,24948,910,56965,2.73,38.313515,-117.055374
128,New Hampshire,12/31/2022,61297,24952,1109,62448,1.85,43.452492,-71.563896
129,New Jersey,12/31/2022,56487,24941,1269,56764,2.62,40.298904,-74.521011
130,New Mexico,12/31/2022,44957,24944,755,43807,4.24,34.840515,-106.248482
131,New York,12/31/2022,49341,24936,1311,50837,3.05,42.165726,-74.948051
132,North Carolina,12/31/2022,46796,24949,820,46354,2.89,35.630066,-79.806419
133,North Dakota,12/31/2022,46491,24948,707,45133,2.07,47.528912,-99.784012
134,Ohio,12/31/2022,49766,24948,700,48386,3.16,40.388783,-82.764915
135,Oklahoma,12/31/2022,51212,24954,701,49719,2.55,35.565342,-96.928917
136,Oregon,12/31/2022,47567,24951,954,47002,3.01,44.572021,-122.070938
137,Pennsylvania,12/31/2022,47062,24945,960,48401,3.13,40.590752,-77.209755
138,Rhode Island,12/31/2022,39830,24939,1094,41501,2.52,41.680893,-71.51178
139,South Carolina,12/31/2022,39761,24942,831,39691,2.02,33.856892,-80.945007
140,South Dakota,12/31/2022,53806,24947,625,51829,2.46,44.299782,-99.438828
141,Tennessee,12/31/2022,43912,24943,759,42976,2.35,35.747845,-86.692345
142,Texas,12/31/2022,48488,24942,887,47377,2.71,31.054487,-97.563461
143,Utah,12/31/2022,63484,24944,856,61419,1.96,40.150032,-111.862434
144,Vermont,12/31/2022,39899,24940,1070,41577,1.59,44.045876,-72.710686
145,Virginia,12/31/2022,58219,24949,1079,56720,2.06,37.769337,-78.169968
146,Washington,12/31/2022,50766,24940,1097,50433,3.54,47.400902,-121.490494
147,West Virginia,12/31/2022,38780,24956,711,39346,4.06,38.491226,-80.954453
148,Wisconsin,12/31/2022,51555,24940,741,50014,2.16,44.268543,-89.616508
149,Wyoming,12/31/2022,50237,24952,770,49126,3.11,42.755966,-107.30249
150,Alabama,12/31/2023,50937,24480,1081,49631,1.98,32.806671,-86.79113
151,Alaska,12/31/2023,56774,24483,704,55948,5.79,61.370716,-152.404419
152,Arizona,12/31/2023,47805,24482,638,46523,3.52,33.729759,-111.431221
153,Arkansas,12/31/2023,44156,24498,901,43344,2.54,34.969704,-92.373123
154,California,12/31/2023,50827,24478,1440,51634,2.55,36.116203,-119.681564
155,Colorado,12/31/2023,65600,24477,1213,67004,2.02,39.059811,-105.311104
156,Connecticut,12/31/2023,54830,24489,1061,54135,2.51,41.597782,-72.755371
157,Delaware,12/31/2023,52245,24498,953,50712,2.33,39.318523,-75.507141
158,Florida,12/31/2023,48288,24482,1027,47714,1.93,27.766279,-81.686783
159,Georgia,12/31/2023,46112,24484,835,44920,2.23,33.040619,-83.643074
160,Hawaii,12/31/2023,61667,24492,1726,63549,1.81,21.094318,-157.498337
161,Idaho,12/31/2023,37726,24495,746,37794,1.77,44.240459,-114.478828
162,Illinois,12/31/2023,54945,24486,681,53011,2.69,40.349457,-88.986137
163,Indiana,12/31/2023,44432,24474,877,43524,2.10,39.849426,-86.258278
164,Iowa,12/31/2023,54581,24470,673,52409,1.67,42.011539,-93.210526
165,Kansas,12/31/2023,51663,24480,682,49561,2.43,38.5266,-96.726486
166,Kentucky,12/31/2023,40086,24492,688,39753,2.89,37.66814,-84.670067
167,Louisiana,12/31/2023,41988,24509,768,41214,3.58,31.169546,-91.867805
168,Maine,12/31/2023,35063,24498,908,36090,2.05,44.693947,-69.381927
169,Maryland,12/31/2023,57099,24493,1255,56472,2.68,39.063946,-76.802101
170,Massachusetts,12/31/2023,47231,24502,1563,50576,1.89,42.230171,-71.530106
171,Michigan,12/31/2023,45461,24499,756,44491,2.56,43.326618,-84.536095
172,Minnesota,12/31/2023,46814,24480,949,47366,2.23,45.694454,-93.900192
