,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
South Dakota,671.6450074712883,648.1422644556081,625.4619483516383,603.5752801345376,582.4544878382837,562.0727713158452,542.4042682325249,523.4240212492651,505.10794635432495,487.4328023030981
Tennessee,791.3376088147804,775.0188256493732,759.0365646977908,743.3838862759103,728.0539938081895,713.0402308765139,698.336078329904,683.9351514538107,669.8311971978144,656.01809146047
Texas,929.9041759758644,908.3211937997353,887.2391504640256,866.6464192287502,846.5316432093879,826.8837291135633,807.6918411231026,788.9453949180684,770.6340518395333,752.7477131877922
Utah,916.2289228233471,885.5226149979278,855.8453920625167,827.162765477603,799.4414025454918,772.649087673674,746.7546849363889,721.7281018908822,697.5402546063514,674.1630338648788
Vermont,985.0888257092507,1026.8783010975892,1070.4405711899744,1115.8508415503356,1163.1875081158612,1212.53229253918,1263.9703832719044,1317.5905826334279,1373.485460118438,1431.7515122082523
Virginia,1136.283256063984,1107.3238747953446,1079.1025540050043,1051.6004834406167,1024.7993322490195,998.6812367582394,973.2287885708843,948.4250229610005,924.2534075666206,900.6978313705217
Washington,1112.198447237486,1104.4512375334612,1096.757992351994,1089.118335793918,1081.5318945784506,1073.998298024971,1066.5171780348874,1059.0881690736646,1051.710908152963,1044.3850348129056
West Virginia,690.9772147457932,701.1006039616092,711.3723092246489,721.7945034880045,732.3693915403328,743.0992104722616,753.986230149669,765.0327536938372,776.2411179686854,787.6136940751337
Wisconsin,788.2685705994546,764.2894703504404,741.0398134284807,718.497410195022,696.6407460194854,675.4489607455276,654.9018287819962,634.9797397994467,615.6636800139258,596.9352140400707
Wyoming,808.22457974647,788.9214629303822,770.0793693597532,751.6872882514629,733.7344717968621,716.2104288810577,699.1049189522068,682.4079460372401,666.1097529004815,650.2008153418045
