,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
North Carolina,25887.511226726165,25413.85049351038,24948.856274747322,24492.370000246392,24044.23600115679,23604.301456882684,23172.41634296831,22748.43337993781,22332.207983070533,21923.598213095174
North Dakota,25887.28924410237,25413.41465331125,24948.214478975286,24491.529933300633,24043.205135151555,23603.087056843236,23171.025471908684,22746.872903821182,22330.484575656305,21921.718360674255
Ohio,25887.383541193198,25413.599795557126,24948.487109214144,24491.886786831386,24043.643037473797,23603.602921449416,23171.616298126253,22747.535774704407,22331.21665592664,21922.516894708107
Oklahoma,25889.22764787404,25417.220637218335,24953.819160151226,24498.866322375263,24052.20809005714,23613.693237676544,23183.173296824967,22760.50250593924,22345.537760950618,21938.138566834117
Oregon,25888.21618055937,25415.234623108714,24950.89450901305,24495.037957818113,24047.509973568536,23608.158392108347,23176.833829343424,22753.389630449245,22337.68182000638,21929.56905304789
Pennsylvania,25886.238021406556,25411.35073571924,24945.17533523985,24487.551999004125,24038.323837989778,23597.33684132932,23164.43982351005,22739.484372541996,22322.324799077658,21912.818086464566
Rhode Island,25884.2110463653,25407.371311823204,24939.31593358356,24479.883085963465,24028.913924437853,23586.252530720398,23151.745858856066,22725.243682307297,22306.5985420145,21895.665695413165
South Carolina,25885.25499091376,25409.42077909081,24942.33356231282,24483.832549446033,24033.759905090767,23591.960695247388,23158.282833981542,22732.577031069843,22314.69674060795,21904.49811056298
South Dakota,25886.835727388687,25412.524231202264,24946.903306462566,24489.813720191218,24041.09915695643,23600.606165414996,23168.18410583614,22743.685098584694,22326.96397355024,21917.87822050138
Tennessee,25885.513523526603,25409.92834192947,24943.080914935916,24484.810706939512,24034.960131796393,23593.374498636334,23159.901958668106,22734.39345296388,22316.702661200972,21906.68595134783
Texas,25885.289629259823,25409.488782353546,24942.433692174844,24483.96360184126,24033.920709363603,23592.150113331125,23158.499759596245,22732.820388937904,22314.965485688386,21904.79122730293
Utah,25885.83883331012,25410.567011911528,24944.021324739,24486.041557331966,24036.47043681556,23595.153577892692,23161.93942982668,22736.67922439829,22319.226924817867,21909.439175575008
Vermont,25884.569256692106,25408.074539419325,24940.351349821653,24481.238217697923,24030.576645262743,23588.21105242909,23153.98872309716,22727.75975243374,22309.376995120674,21898.69601455651
Virginia,25887.687940948686,25414.197456501268,24949.367198466316,24493.03876973969,24045.05667032917,23605.268244365157,23173.523628081508,22749.67569874749,22333.580024533872,21925.0948152954
Washington,25884.573115120696,25408.082114221874,24940.362502865606,24481.25281467735,24030.594555603744,23588.23214919774,23154.012882910574,22727.786855371447,22309.406924639316,21898.7286574064
West Virginia,25889.835888856727,25418.41495456708,24955.577995017196,24501.16870696095,24055.033633235114,23617.02211093632,23186.986220540108,22764.780735948538,22350.26307544624,21943.29325354863
Wisconsin,25884.303981131427,25407.553757588827,24939.584561181902,24480.234658504545,24029.345295038376,23586.760640286084,23152.327733915474,22725.896432895403,22307.319359604655,21896.45185089819
Wyoming,25888.643909673792,25416.07445892664,24952.131257069046,24496.65684117203,24049.496622623257,23610.498834660597,23179.51448086078,22756.39728457098,22341.00363926154,21933.19255978663
