State,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Massachusetts,2.632866433259188,2.3578182501302596,2.11150358044009,1.890920714505884,1.6933815228493263,1.516478697350789,1.3580564146284038,1.216184064131783,1.0891327207882024,0.9753540754855478
Michigan,3.6432963178627777,3.2374653804274285,2.8768404145657183,2.5563858754795348,2.2716271334563363,2.018587992897229,1.7937351711718224,1.593928962036891,1.4163793947131311,1.2586072764524523
Minnesota,2.9520343605948667,2.6896626130039283,2.450610016047828,2.232804003639235,2.0343562158076542,1.8535461267759081,1.6888061281450628,1.53870793786031,1.4019502171246,1.2773472878997707
Mississippi,4.7878095624527575,4.451091341031862,4.138053919600591,3.847031869166767,3.5764768874285764,3.3249495614605475,3.091111709715328,2.8737192625989816,2.6716156437429324,2.4837256167593798
Missouri,2.8540945108778324,2.5297687816841514,2.2422978862095766,1.9874938163924616,1.76164446949359,1.5614595684782444,1.3840227277488877,1.2267489659000808,1.0873470465218873,0.9637860984153236
Montana,3.231225802431668,2.966142098380731,2.7228053641950645,2.4994315192575116,2.294382845578369,2.106155980479949,1.9333708943387995,1.774760772573272,1.6291627276938396,1.4955092733194002
Nebraska,2.8526634091066585,2.7216349584133845,2.596624902612502,2.477356804969172,2.3635669260324197,2.2550036404238742,2.151426880414549,2.0526076050592197,1.9583272937145453,1.8683774628208536
Nevada,3.575156460122284,3.125120712556016,2.731734842092073,2.3878678405981897,2.087286341377224,1.8245416253055693,1.594870850482447,1.3941107149542886,1.2186219874558717,1.0652235381173398
New Hampshire,2.2504308132874944,2.0421124376587967,1.8530777233487887,1.6815416161454664,1.5258843011286352,1.3846359067627154,1.25646262490447,1.1401541156568993,1.0346120781334038,0.938839879205977
New Jersey,3.226779505325537,2.9084094904996944,2.6214514349270095,2.362806079449352,2.1296799531356863,1.9195552027041576,1.7301623987225645,1.559456024883474,1.405592385628609,1.2669096935162067
New Mexico,4.689159543367231,4.4600846294426,4.242200487703102,4.034960426326601,3.8378444604905737,3.6503580076812265,3.472030646739435,3.302414937529762,3.141085298271036,2.9876369377115943
New York,3.631593182537741,3.330421475619844,3.0542262438985617,2.8009361629469334,2.568651685374112,2.3556307951814905,2.160275943524508,1.9811220679050217,1.8168256049441769,1.6661544143371898
North Carolina,3.5906886089616763,3.223261171631786,2.89343179317168,2.5973531451372747,2.3315715879237997,2.092986885434167,1.8788160420586573,1.6865608401386207,1.5139786992516444,1.3590565174033722
North Dakota,2.2848874717679584,2.17529614943424,2.0709612163447413,1.9716305573930968,1.8770641498093177,1.7870334831683692,1.7013210072171931,1.6197196061859214,1.5420320983129765,1.4680707593747395
Ohio,3.843946428771851,3.4848877705820414,3.159368372735737,2.864255371120818,2.596708538893977,2.3541529515667157,2.134254205414524,1.9348959507062395,1.7541595235288596,1.590305480180399
Oklahoma,3.0101323761596626,2.770916489909669,2.5507111430922893,2.34800556393068,2.1614090420155265,1.9896413870015843,1.8315241455537272,1.6859725162842345,1.5519879072117893,1.428651084680883
Oregon,3.703655199262272,3.3374846313923214,3.0075163765241104,2.7101712079756566,2.4422237677153125,2.200767580306741,1.983183525832338,1.7871114298151385,1.6104244619697958,1.4512060660811643
Pennsylvania,3.6971013552359553,3.400138913156104,3.127029398960186,2.875856872825469,2.644859289051665,2.432416134816247,2.237037061822623,2.0573514310889256,1.8920986975312168,1.7401195668862814
Rhode Island,3.2333211084588687,2.8563839864496403,2.5233897915987726,2.2292157043841345,1.9693361181129048,1.7397530164876789,1.5369344676815857,1.357760288708433,1.1994740441825642,1.0596406410120245
South Carolina,2.670871955744268,2.323634203251209,2.021540530577143,1.7587217949572898,1.5300718958005377,1.3311485722365226,1.1580870978878028,1.0075251961100318,0.8765377169368171,0.7625798066184533
South Dakota,2.7691067049512768,2.60814691952589,2.4565432388969914,2.3137518210314227,2.179260435786168,2.052586627404936,1.9332759838232427,1.8209005065735424,1.7150570754428458,1.6153660023751384
Tennessee,2.9652386705128766,2.640432544475968,2.3512050113395957,2.0936588654437944,1.8643237929958136,1.660109611215744,1.4782646295696762,1.3163385720274474,1.1721495607397854,1.0437547162553429
Texas,3.2380203124520794,2.961801001088209,2.709144577108624,2.478041008487887,2.266651728975424,2.0732950112082045,1.8964325875699783,1.734657412358093,1.586682467898607,1.451330525555729
Utah,2.4700719935762816,2.2026193694765053,1.9641257823294482,1.7514556270011088,1.5618128130855709,1.3927040031809594,1.2419058316241385,1.1074356726909214,0.9875255739354356,0.880599011956053
Vermont,1.9905527062551245,1.7768161777486993,1.5860297090293964,1.415729026685869,1.263714459817708,1.1280225282169818,1.0069005812820897,0.8987841600900992,0.8022767902271689,0.7161319443732584
Virginia,2.5295200946686642,2.285168539047344,2.0644213354374568,1.864998304232772,1.6848395310999174,1.5220840893604866,1.3750508177902865,1.2422209552825372,1.1222224530020275,1.013815801984638
Washington,4.1791647920753014,3.8470084491898144,3.541251600367901,3.2597960370347647,3.0007103143881677,2.7622164971604035,2.542677958815487,2.3405881504554134,2.154560262363857,1.9833177072413117
West Virginia,4.590514726684379,4.318201937685686,4.062042948308025,3.821079502998447,3.5944101906447132,3.381187072520277,3.1806125102621228,2.991936182015335,2.8144522755822163,2.647496848075928
Wisconsin,2.719660933161025,2.4251001938892816,2.1624427069907908,1.9282330984924048,1.7193902386878133,1.5331667085303813,1.3671126561354603,1.2190435679087266,1.0870115303156047,0.9692796042278481
Wyoming,3.498161509294128,3.2984188531285663,3.1100813675321954,2.9324978249795066,2.765054182596244,2.6071714589409503,2.458303732020874,2.3179362516198205,2.1855836594107707,2.060788310698912
