,State,Year,Unemployment Rate,Latitude,Longitude
44,Vermont,2020-12-31,1.9905527062551245,44.045876,-72.710686
45,Virginia,2020-12-31,2.529520094668664,37.769337,-78.16996800000001
46,Washington,2020-12-31,4.179164792075301,47.400902,-121.490494
47,West Virginia,2020-12-31,4.590514726684379,38.491226,-80.954453
48,Wisconsin,2020-12-31,2.719660933161025,44.268543,-89.616508
49,Wyoming,2020-12-31,3.498161509294128,42.755966,-107.30248999999999
50,Alabama,2021-12-31,2.5609988979340037,32.806671,-86.79113000000001
51,Alaska,2021-12-31,6.046991404317397,61.370716,-152.404419
52,Arizona,2021-12-31,4.15184549579139,33.729759,-111.431221
53,Arkansas,2021-12-31,3.0144164471231294,34.969704,-92.37312299999999
54,California,2021-12-31,3.2356074316508168,36.116203000000006,-119.681564
55,Colorado,2021-12-31,2.47608171612753,39.059810999999996,-105.311104
56,Connecticut,2021-12-31,3.0581861360260656,41.597782,-72.755371
57,Delaware,2021-12-31,2.8365244308820063,39.318523,-75.507141
58,Florida,2021-12-31,2.528254963608098,27.766278999999997,-81.68678299999999
59,Georgia,2021-12-31,2.841089324034288,33.040619,-83.643074
60,Hawaii,2021-12-31,2.2217767870500533,21.094317999999998,-157.49833700000002
61,Idaho,2021-12-31,2.2524464198050365,44.240459,-114.47882800000001
62,Illinois,2021-12-31,3.3336085022297475,40.349457,-88.986137
63,Indiana,2021-12-31,2.675029635494113,39.849426,-86.258278
64,Iowa,2021-12-31,2.036688603853144,42.011539,-93.210526
65,Kansas,2021-12-31,2.840533467661436,38.5266,-96.726486
66,Kentucky,2021-12-31,3.4906853150894364,37.66814,-84.670067
67,Louisiana,2021-12-31,4.038977545585456,31.169546,-91.867805
68,Maine,2021-12-31,2.5261645843644045,44.693946999999994,-69.381927
69,Maryland,2021-12-31,3.1595371407236024,39.063946,-76.80210100000001
70,Massachusetts,2021-12-31,2.35781825013026,42.230171,-71.530106
71,Michigan,2021-12-31,3.2374653804274285,43.326617999999996,-84.53609499999999
72,Minnesota,2021-12-31,2.6896626130039283,45.694454,-93.900192
73,Mississippi,2021-12-31,4.451091341031862,32.741646,-89.678696
74,Missouri,2021-12-31,2.5297687816841514,38.456084999999995,-92.288368
75,Montana,2021-12-31,2.966142098380731,46.921925,-110.454353
76,Nebraska,2021-12-31,2.7216349584133845,41.125370000000004,-98.26808199999999
77,Nevada,2021-12-31,3.125120712556016,38.313515,-117.055374
